species,pisc_grab,pisc_eng,pred_inv,pisc_crypt,pred_plank,eels,parrotfish,farm_damsel,herbs,inverts
pisc_grab,1,1,1,1,1,1,1,1,1,1
pisc_eng,1,1,1,1,1,1,1,1,1,1
pred_inv,1,1,1,1,1,1,1,1,1,1
pisc_crypt,1,1,1,1,1,1,1,1,1,1
pred_plank,1,1,1,1,1,1,1,1,1,1
eels,1,1,1,1,1,1,1,1,1,1
parrotfish,0,0,0,0,0,0,0,0,0,0
farm_damsel,0,0,0,0,0,0,0,0,0,0
herbs,0,0,0,0,0,0,0,0,0,0
inverts,0,0,0,0,0,0,0,0,0,0
