species,detritus,algae
pisc_grab,0,0
pisc_eng,0,0
pred_inv,0,0
pisc_crypt,0,0
pred_plank,0,0
eels,0,0
parrotfish,0.3,0.7
farm_damsel,0.5,0.5
herbs,0,1
inverts,1,0
