species,l_max,w_mat,age_mat,biomass_observed,biomass_cutoff,k_vb,a,b,beta,sigma,refuge_user,bad_pred,interaction_resource,interaction_algae,interaction_detritus,satiation,linecolour,ks
predators,50,100,4,107,3.125,0.4,0.025,3,30,1,TRUE,TRUE,1,0,0,FALSE,#8E0408,0.15
herbivores,50,100,4,34,3.125,0.6,0.025,3,30,1,TRUE,FALSE,0.2,1,0,FALSE,#578979,0.1
inverts,30,0.1,0.2,20,3.125,NA,0.025,3,30,1,FALSE,FALSE,0.2,0,1,TRUE,#D89958,0.1
