"start_L","end_L","refuge_density"
0,5,7.53333333333333
5,10,1.4
10,15,0.708333333333333
15,20,0.283333333333333
20,25,0.1
25,30,0.05
30,35,0.0416666666666667
35,40,0.0333333333333333
40,45,0.0333333333333333
45,50,0.0416666666666667
