"start_L","end_L","refuge_density"
0,5,9.36666666666667
5,10,2.43333333333333
10,15,1.00833333333333
15,20,0.441666666666667
20,25,0.191666666666667
25,30,0.075
30,35,0.00833333333333333
35,40,0.0333333333333333
40,45,0.0333333333333333
45,50,0.00833333333333333
