,schooling_herbs,refuging_herbs,ambush_hunters,pursuit_hunters,inverts
schooling_herbs,0,0,0,0,0
refuging_herbs,0,0,0,0,0
ambush_hunters,1,1,1,1,1
pursuit_hunters,1,1,1,1,1
inverts,0,0,0,0,0
